Moneyness,Price % European Double KO,Delta % European Double KO,Vega European Double KO
1.018,0.064525238,-0.001492236,-1.712761043
1.02,0.064428465,-0.001836997,-1.701857565
1.022,0.064357396,-0.002209079,-1.690368593
1.024,0.064288731,-0.002609923,-1.678760693
1.026,0.064176203,-0.002984411,-1.666668069
1.028,0.064112492,-0.003330961,-1.65623687
1.03,0.064027829,-0.003733761,-1.643371162
1.032,0.063899684,-0.004054779,-1.631513094
1.034,0.063843384,-0.004430703,-1.619284257
1.036,0.063719917,-0.004835124,-1.607227204
1.038,0.063668245,-0.005130579,-1.596256715
1.04,0.063526332,-0.005536485,-1.58307163
1.042,0.063455927,-0.005859572,-1.570954233
1.044,0.063341494,-0.006241073,-1.556848463
1.046,0.063275535,-0.006620321,-1.546100086
1.048,0.063165366,-0.006945274,-1.533369379
1.05,0.063057584,-0.007300175,-1.520508691
1.052,0.062974905,-0.007681174,-1.508473278
1.054,0.062824984,-0.008032987,-1.495179937
1.056,0.062746675,-0.008415408,-1.482896537
1.058,0.062623998,-0.008773951,-1.468550775
1.06,0.062503308,-0.009072372,-1.455852666
1.062,0.062384595,-0.00945679,-1.443023121
1.064,0.062314127,-0.009841962,-1.430196332
1.066,0.062176212,-0.010172896,-1.41800554
1.068,0.062040326,-0.01052816,-1.403818825
1.07,0.06192945,-0.010868766,-1.390488776
1.072,0.061797397,-0.011225421,-1.37796436
1.074,0.061690286,-0.011550587,-1.364373064
1.076,0.06156202,-0.011917402,-1.351606661
1.078,0.061435526,-0.012275736,-1.338729788
1.08,0.061333915,-0.012579728,-1.324731756
1.082,0.061211165,-0.012949674,-1.311589789
1.084,0.061090299,-0.013309819,-1.29833295
1.086,0.060948221,-0.013648849,-1.283934353
1.088,0.060830912,-0.013988542,-1.270411516
1.09,0.060692239,-0.014283702,-1.257846824
1.092,0.060578395,-0.014637922,-1.244063553
1.094,0.060466066,-0.014967653,-1.230134225
1.096,0.060309261,-0.015297957,-1.216182116
1.098,0.060223232,-0.015642443,-1.203014312
1.1,0.060092639,-0.015973693,-1.187610904
1.102,0.059940389,-0.016285415,-1.175516506
1.104,0.059812911,-0.016597823,-1.159793071
1.106,0.05968698,-0.016966045,-1.146204953
1.108,0.05956241,-0.017244812,-1.132479296
1.11,0.059416346,-0.017614638,-1.119909149
1.112,0.059294763,-0.017930423,-1.105895928
1.114,0.059128469,-0.018246999,-1.092005299
1.116,0.058986509,-0.018583524,-1.076645066
1.118,0.058822701,-0.018884312,-1.062489896
1.12,0.058660371,-0.019239726,-1.050642312
1.122,0.058545551,-0.019523297,-1.035897144
1.124,0.058385891,-0.019844541,-1.021338655
1.126,0.058296773,-0.02016651,-1.007350628
1.128,0.058116615,-0.02043275,-0.993946448
1.13,0.057983845,-0.020776661,-0.980022274
1.132,0.057806155,-0.021081403,-0.96638045
1.134,0.057675809,-0.021386497,-0.952187133
1.136,0.057523585,-0.021713349,-0.939378655
1.138,0.057372602,-0.02200303,-0.923785571
1.14,0.057245992,-0.022310098,-0.911792114
1.142,0.057097566,-0.022617847,-0.895907376
1.144,0.056973386,-0.022926216,-0.880943778
1.146,0.056757785,-0.023203169,-0.869621237
1.148,0.05663584,-0.02355185,-0.854348554
1.15,0.056514887,-0.023862341,-0.838894372
1.152,0.056348744,-0.024102965,-0.826662847
1.154,0.056206676,-0.024414479,-0.812605861
1.156,0.056019411,-0.024671745,-0.79902647
1.158,0.055879404,-0.02499513,-0.784665386
1.16,0.055740292,-0.02530902,-0.770145168
1.162,0.055555892,-0.025623555,-0.756173826
1.164,0.05544168,-0.025828868,-0.739536568
1.166,0.055282191,-0.026144749,-0.726379347
1.168,0.055169714,-0.026447407,-0.712329652
1.17,0.054965635,-0.026709614,-0.69967474
1.172,0.054831627,-0.027027813,-0.684219873
1.174,0.054652053,-0.027278351,-0.669406612
1.176,0.054496401,-0.027597886,-0.655550221
1.178,0.054295314,-0.027821342,-0.642384263
1.18,0.054164442,-0.028116867,-0.629334585
1.182,0.054034199,-0.028396585,-0.613031505
1.184,0.053858502,-0.028664323,-0.600585599
1.186,0.053706527,-0.028890108,-0.585977733
1.188,0.053532193,-0.029202199,-0.573276345
1.19,0.053358525,-0.029472442,-0.560428155
1.192,0.053208718,-0.029754954,-0.545354828
1.194,0.053059408,-0.030069793,-0.530118809
1.196,0.052887662,-0.030330868,-0.51685969
1.198,0.052716431,-0.030604112,-0.503470603
1.2,0.052568955,-0.030889211,-0.491043161
1.202,0.052398945,-0.031109194,-0.477359052
1.204,0.052252643,-0.031385004,-0.464631055
1.206,0.052060733,-0.031627705,-0.449576936
1.208,0.051915749,-0.031894589,-0.436569961
1.21,0.051748096,-0.032128014,-0.418947443
1.212,0.051580893,-0.032362291,-0.407941766
1.214,0.051414235,-0.032642165,-0.39681088
