Moneyness,Price % European Double KO +10 vol,Delta % European Double KO +10 vol,Vega European Double KO +10 vol
1.2,0.045667957,-0.189617393,-0.78
1.202,0.045613856,-0.190855853,-0.78
1.204,0.045513814,-0.191890772,-0.77
1.206,0.04543734,-0.19318342,-0.76
1.208,0.045384454,-0.19473597,-0.76
1.21,0.0453086,-0.196036341,-0.75
1.212,0.045256444,-0.197299607,-0.74
1.214,0.045181722,-0.198609699,-0.74
1.216,0.045130315,-0.200182838,-0.73
1.218,0.045056378,-0.201201196,-0.72
1.22,0.044982771,-0.202521855,-0.72
1.222,0.044909543,-0.203548976,-0.71
1.224,0.044860036,-0.205142258,-0.7
1.226,0.044787655,-0.206476473,-0.7
1.228,0.04471563,-0.207515021,-0.69
1.23,0.04462101,-0.208590398,-0.68
1.232,0.044549802,-0.209936449,-0.68
1.234,0.044525297,-0.211224943,-0.67
1.236,0.044454963,-0.212580469,-0.66
1.238,0.044384785,-0.213640326,-0.66
1.24,0.04429207,-0.214733013,-0.65
1.242,0.04422289,-0.216101218,-0.64
1.244,0.044177019,-0.217147965,-0.64
1.246,0.044085314,-0.218249652,-0.63
1.248,0.044017143,-0.219331013,-0.62
1.25,0.043949274,-0.22041717,-0.62
1.252,0.043881776,-0.221507393,-0.61
1.254,0.04381464,-0.22290147,-0.6
1.256,0.043747759,-0.223999386,-0.6
1.258,0.043658103,-0.224822784,-0.59
1.26,0.043615155,-0.226212118,-0.59
1.262,0.043503044,-0.227060094,-0.58
1.264,0.043460606,-0.228457831,-0.57
1.266,0.043395467,-0.229578824,-0.56
1.268,0.043307393,-0.230419183,-0.56
1.27,0.043219665,-0.231562909,-0.55
1.272,0.043155516,-0.232397855,-0.55
1.274,0.0431146,-0.23382217,-0.54
1.276,0.043004569,-0.234688035,-0.53
1.278,0.042941288,-0.235535271,-0.53
1.28,0.042855042,-0.236695925,-0.52
1.282,0.042792181,-0.237552447,-0.51
1.284,0.042729762,-0.239011107,-0.5
1.286,0.042667634,-0.239877138,-0.5
1.288,0.04262896,-0.24104179,-0.49
1.29,0.042521298,-0.241927091,-0.49
1.292,0.042460026,-0.243105184,-0.48
1.294,0.042352618,-0.243993949,-0.47
1.296,0.042291745,-0.245180045,-0.46
1.298,0.042184766,-0.24577449,-0.46
1.3,0.042124323,-0.24666999,-0.45
1.302,0.042041065,-0.247569803,-0.45
1.304,0.041958049,-0.248473295,-0.44
1.306,0.041921415,-0.24968223,-0.43
1.308,0.041792551,-0.250285891,-0.43
1.31,0.041733323,-0.2512024,-0.42
1.312,0.041674329,-0.252123863,-0.41
1.314,0.041592428,-0.253044284,-0.41
1.316,0.041533874,-0.253974989,-0.4
1.318,0.041429312,-0.254893498,-0.39
1.32,0.041371078,-0.255830783,-0.39
1.322,0.041290038,-0.25646574,-0.38
1.324,0.041209321,-0.257403364,-0.37
1.326,0.04112859,-0.258342976,-0.37
1.328,0.041048159,-0.258987249,-0.36
1.33,0.040991148,-0.259947005,-0.35
1.332,0.040910941,-0.260895922,-0.35
1.334,0.040807942,-0.261236516,-0.34
1.336,0.040728383,-0.262193272,-0.34
1.338,0.040671995,-0.263169562,-0.33
1.34,0.040592631,-0.263833336,-0.32
1.342,0.040513518,-0.264799269,-0.32
1.344,0.040411437,-0.265449948,-0.31
1.346,0.04033256,-0.265823235,-0.3
1.348,0.040253967,-0.266798809,-0.3
1.35,0.04017554,-0.267777753,-0.29
1.352,0.040120365,-0.268482884,-0.28
1.354,0.040042158,-0.269168563,-0.28
1.356,0.039940981,-0.269833041,-0.27
1.358,0.039886341,-0.270550153,-0.27
1.36,0.039785466,-0.271219649,-0.26
1.362,0.039707871,-0.271918341,-0.25
1.364,0.03963055,-0.272620084,-0.25
1.366,0.039553266,-0.273324196,-0.24
1.368,0.039452863,-0.27400082,-0.23
1.37,0.039398984,-0.27474034,-0.23
1.372,0.039299071,-0.275124232,-0.22
1.374,0.039222215,-0.275840486,-0.22
1.376,0.039145605,-0.27655952,-0.21
1.378,0.039069134,-0.277281695,-0.2
1.38,0.038992717,-0.278006838,-0.2
1.382,0.038916352,-0.278434735,-0.19
1.384,0.038840127,-0.279164714,-0.18
1.386,0.038740904,-0.279860644,-0.18
1.388,0.038687895,-0.280633931,-0.17
1.39,0.038588602,-0.281332733,-0.16
1.392,0.038489429,-0.281734383,-0.16
1.394,0.038436697,-0.282518062,-0.15
1.396,0.038337878,-0.282924174,-0.15
1.398,0.038285406,-0.283715953,-0.14
