Moneyness,Price % European Double KO +5 vol,Delta % European Double KO +5 vol,Vega European Double KO +5 vol
1.006,0.056603877,-0.007873238,-1.558707153
1.008,0.056567434,-0.008406965,-1.552869479
1.01,0.056509564,-0.008980509,-1.545590948
1.012,0.056499298,-0.009554901,-1.540424001
1.014,0.056444482,-0.010094265,-1.533018312
1.016,0.056437272,-0.010635014,-1.527073095
1.018,0.056362308,-0.011171838,-1.520158433
1.02,0.056335032,-0.011750481,-1.513327158
1.022,0.056309204,-0.012295474,-1.50715254
1.024,0.056261821,-0.012834821,-1.500145075
1.026,0.056238909,-0.013417225,-1.493112199
1.028,0.056171295,-0.013881766,-1.485958967
1.03,0.056151242,-0.014466747,-1.479559965
1.032,0.056109636,-0.015009907,-1.471531381
1.034,0.056092419,-0.015554244,-1.46580383
1.036,0.056007399,-0.016066884,-1.457645616
1.038,0.055946659,-0.01656939,-1.45023247
1.04,0.055933854,-0.017149488,-1.443543332
1.042,0.055852806,-0.017710684,-1.435208623
1.044,0.055773272,-0.018171479,-1.427681067
1.046,0.05574127,-0.018691591,-1.419989851
1.048,0.055687363,-0.019244504,-1.412292699
1.05,0.055634617,-0.019707938,-1.403636618
1.052,0.055606312,-0.020263456,-1.396633853
1.054,0.055533017,-0.020804693,-1.387923655
1.056,0.055484164,-0.021286636,-1.380903543
1.058,0.055413527,-0.021876495,-1.372063561
1.06,0.055390287,-0.022314777,-1.364818144
1.062,0.055299111,-0.022907865,-1.355967938
1.064,0.055255295,-0.023349148,-1.348734627
1.066,0.055212835,-0.023848807,-1.340463661
1.068,0.055102374,-0.024369194,-1.331599552
1.07,0.055062772,-0.024862696,-1.323199421
1.072,0.055001069,-0.025365295,-1.314903439
1.074,0.05494076,-0.025813411,-1.307586183
1.076,0.054858392,-0.026366783,-1.298319712
1.078,0.054800382,-0.026818261,-1.289844937
1.08,0.054743536,-0.027324502,-1.281293615
1.082,0.054664756,-0.027829126,-1.272910014
1.084,0.05458706,-0.028261217,-1.263374274
1.086,0.054533698,-0.02874504,-1.256849021
1.088,0.05445833,-0.029230038,-1.247179874
1.09,0.054384027,-0.029767744,-1.238571508
1.092,0.054287781,-0.030204149,-1.229036535
1.094,0.054215718,-0.030745226,-1.220303085
1.096,0.054167899,-0.03113239,-1.211211172
1.098,0.054051719,-0.031624724,-1.201786493
1.1,0.054029217,-0.032142744,-1.194608737
1.102,0.053938299,-0.032508768,-1.184746852
1.104,0.053871576,-0.033029416,-1.175694048
1.106,0.053782802,-0.033451548,-1.166914993
1.108,0.053718177,-0.033921135,-1.157724545
1.11,0.053608249,-0.034346876,-1.147953915
1.112,0.053545636,-0.034818671,-1.139888429
1.114,0.053484012,-0.035269622,-1.130488167
1.116,0.05337709,-0.035667222,-1.120530572
1.118,0.0532709,-0.03617627,-1.110506314
1.12,0.053188918,-0.03663167,-1.101297873
1.122,0.0531078,-0.037033432,-1.092027013
1.124,0.053027673,-0.037415601,-1.082695955
1.126,0.052948426,-0.037875876,-1.073292993
1.128,0.052870178,-0.038281629,-1.063819856
1.13,0.052769634,-0.038688543,-1.054753933
1.132,0.05267002,-0.039173363,-1.044262338
1.134,0.052617778,-0.039582966,-1.036869485
1.136,0.05252029,-0.040013522,-1.026240894
1.138,0.052446774,-0.040407264,-1.016432961
1.14,0.052327838,-0.040821307,-1.007603115
1.142,0.052256101,-0.041178609,-0.997650158
1.144,0.052162019,-0.041654124,-0.988167225
1.146,0.052068784,-0.042090496,-0.97862553
1.148,0.051976316,-0.042433585,-0.96901776
1.15,0.051861633,-0.042795881,-0.958439939
1.152,0.051793952,-0.043201904,-0.949596547
1.154,0.051703911,-0.043643285,-0.939787959
1.156,0.05161463,-0.043992717,-0.929912923
1.158,0.051526081,-0.044436874,-0.919968791
1.16,0.05146143,-0.044805622,-0.910856828
1.162,0.051351185,-0.045175299,-0.899868883
1.164,0.051241787,-0.045546521,-0.891919268
1.166,0.051156189,-0.04590421,-0.8816922
1.168,0.051071339,-0.04627855,-0.871389353
1.17,0.050964074,-0.046653985,-0.861697582
1.172,0.050857431,-0.047030906,-0.851943392
1.174,0.050774815,-0.047409469,-0.841412724
1.176,0.050669591,-0.047775328,-0.831515292
1.178,0.050565176,-0.048156717,-0.823194519
1.18,0.050484343,-0.048476253,-0.812441489
1.182,0.050381252,-0.048860602,-0.804000306
1.184,0.050278735,-0.049169625,-0.793844014
1.186,0.050176773,-0.049556608,-0.78194059
1.188,0.050052231,-0.049881064,-0.772416491
1.19,0.049951314,-0.050271112,-0.763736173
1.192,0.049828142,-0.05058626,-0.752392226
1.194,0.049751553,-0.050979228,-0.742770493
1.196,0.049629493,-0.051243345,-0.733007679
1.198,0.049554141,-0.051628466,-0.723249929
1.2,0.049456316,-0.051960517,-0.714252704
1.202,0.049312901,-0.052293827,-0.703396401
1.204,0.049239244,-0.052617548,-0.695179921
1.206,0.049119982,-0.052953142,-0.683324252
1.208,0.049024481,-0.053366491,-0.674078578
1.21,0.048906631,-0.053694963,-0.665668122
1.212,0.048812443,-0.054025224,-0.654483487
1.214,0.048718693,-0.054231042,-0.645037083
1.216,0.04860232,-0.054573171,-0.63462872
1.218,0.048486467,-0.05491629,-0.625998467
1.22,0.048371119,-0.055252382,-0.615448746
1.222,0.048279495,-0.055521665,-0.605730028
1.224,0.048188157,-0.055800314,-0.595933816
1.226,0.048074224,-0.056141399,-0.585175882
1.228,0.04798387,-0.05642218,-0.575237577
1.23,0.047870705,-0.056703722,-0.566239281
1.232,0.047781306,-0.056972484,-0.556163814
1.234,0.047645819,-0.057256652,-0.546155918
1.236,0.047580282,-0.057535248,-0.536822892
1.238,0.047422604,-0.05788567,-0.525808547
1.24,0.047334726,-0.058172981,-0.517383508
1.242,0.047201099,-0.058384652,-0.507126541
1.244,0.04713713,-0.058740249,-0.497478692
1.246,0.047004194,-0.058959949,-0.487090473
1.248,0.046894795,-0.059246972,-0.477521314
1.25,0.046762555,-0.059530602,-0.469016783
1.252,0.046653915,-0.059757244,-0.459313145
1.254,0.04654566,-0.060048564,-0.449547998
1.256,0.04643763,-0.060264247,-0.439712939
1.258,0.046329948,-0.060634719,-0.427754607
1.26,0.046222433,-0.060853404,-0.419830262
1.262,0.046092099,-0.061079861,-0.410966896
1.264,0.045985416,-0.061304486,-0.400845901
1.266,0.045832561,-0.061603676,-0.391000147
1.268,0.0457495,-0.061830233,-0.381612134
1.27,0.045620511,-0.062129853,-0.370415744
1.272,0.045537878,-0.062360731,-0.362998206
1.274,0.04540948,-0.062514293,-0.353784401
1.276,0.045304467,-0.06274706,-0.343230113
1.278,0.045199662,-0.062978916,-0.334754145
1.28,0.045048874,-0.063287137,-0.324498221
1.282,0.044967778,-0.063445587,-0.314591467
1.284,0.044840538,-0.063756203,-0.305072786
1.286,0.044713664,-0.063992345,-0.297681725
1.288,0.044610201,-0.064229826,-0.288892006
1.29,0.04450682,-0.06446762,-0.277822456
1.292,0.044403846,-0.064630098,-0.268900405
1.294,0.044277967,-0.064947862,-0.2590641
1.296,0.044175543,-0.065033981,-0.250013704
1.298,0.044050271,-0.065276434,-0.240053764
1.3,0.043925198,-0.065520956,-0.232276513
1.302,0.043800303,-0.065687336,-0.222183944
1.304,0.043698738,-0.065936033,-0.212861504
1.306,0.043574249,-0.066180794,-0.204929624
1.308,0.043449804,-0.066270956,-0.194646362
1.31,0.043371904,-0.06644292,-0.185961013
1.312,0.043224713,-0.066695096,-0.17703331
1.314,0.043147035,-0.066869104,-0.168192377
1.316,0.043000303,-0.067120733,-0.159144348
1.318,0.042899841,-0.06729366,-0.149342698
1.32,0.042776356,-0.067470359,-0.141007707
1.322,0.042653063,-0.067644955,-0.132620918
1.324,0.042576108,-0.06782813,-0.12343589
1.326,0.042429838,-0.067923258,-0.114117877
1.328,0.0423068,-0.068185057,-0.1055601
1.33,0.042230247,-0.068367055,-0.096164642
1.332,0.042107324,-0.068544899,-0.087486854
1.334,0.041961387,-0.0686472,-0.077946082
1.336,0.041861781,-0.068750337,-0.067521317
1.338,0.04173889,-0.069018346,-0.058658361
1.34,0.041639338,-0.069205519,-0.050541518
1.342,0.041470516,-0.06939374,-0.04243741
1.344,0.041371114,-0.069493826,-0.034191214
1.346,0.041248665,-0.06968968,-0.025093312
1.348,0.041149427,-0.069714446,-0.016722604
1.35,0.04105027,-0.069913122,-0.008291834
1.352,0.040927908,-0.070098756,0.000989161
1.354,0.040805639,-0.070292333,0.010330377
1.356,0.040683505,-0.070402751,0.017198263
1.358,0.040561156,-0.070597685,0.026652145
1.36,0.04043907,-0.07071708,0.033631877
1.362,0.040317032,-0.070736595,0.040656841
1.364,0.040218048,-0.070934184,0.049527208
1.366,0.040095952,-0.071047465,0.059228295
1.368,0.039950728,-0.071161412,0.067170372
1.37,0.039875,-0.071275772,0.075466564
1.372,0.039752823,-0.071485486,0.085352548
1.374,0.039653791,-0.071601025,0.091935215
1.376,0.0395318,-0.071726854,0.099321294
1.378,0.039386584,-0.071757198,0.107521175
1.38,0.039287592,-0.071961179,0.114268789
1.382,0.03916551,-0.072089505,0.121809803
1.384,0.039043391,-0.072218501,0.132062294
1.386,0.038944293,-0.07233741,0.138969412
1.388,0.038822026,-0.072467793,0.149347127
1.39,0.038722905,-0.072511257,0.156372277
1.392,0.038577487,-0.072631344,0.164906161
1.394,0.038454983,-0.072775162,0.172759539
1.396,0.038332641,-0.072896543,0.177960132
1.398,0.038210297,-0.072941647,0.185921119
