Moneyness,European UP&OUT Price % Rebate = 0%,European UP&OUT Delta % Rebate = 0%,European UP&OUT Vega Rebate = 0%
0.766000,0.013700,0.290300,0.190000
0.768000,0.013800,0.291700,0.180000
0.770000,0.014000,0.292500,0.170000
0.772000,0.014100,0.293400,0.160000
0.774000,0.014300,0.295500,0.150000
0.776000,0.014400,0.296400,0.140000
0.778000,0.014600,0.297300,0.130000
0.780000,0.014700,0.298900,0.120000
0.782000,0.014900,0.299900,0.110000
0.784000,0.015000,0.301000,0.100000
0.786000,0.015200,0.302100,0.090000
0.788000,0.015300,0.303200,0.080000
0.790000,0.015500,0.303800,0.060000
0.792000,0.015600,0.304900,0.050000
0.794000,0.015800,0.305600,0.040000
0.796000,0.016000,0.306800,0.030000
0.798000,0.016100,0.307500,0.020000
0.800000,0.016300,0.308200,0.010000
0.802000,0.016400,0.309500,-0.010000
0.804000,0.016600,0.309700,-0.020000
0.806000,0.016700,0.310500,-0.030000
0.808000,0.016900,0.311300,-0.040000
0.810000,0.017000,0.312100,-0.060000
0.812000,0.017200,0.311900,-0.070000
0.814000,0.017400,0.313300,-0.080000
0.816000,0.017500,0.313700,-0.090000
0.818000,0.017700,0.314100,-0.110000
0.820000,0.017800,0.315000,-0.120000
0.822000,0.018000,0.315000,-0.130000
0.824000,0.018100,0.315400,-0.150000
0.826000,0.018300,0.315900,-0.160000
0.828000,0.018400,0.315900,-0.170000
0.830000,0.018600,0.315900,-0.190000
0.832000,0.018700,0.316900,-0.200000
0.834000,0.018900,0.316900,-0.210000
0.836000,0.019000,0.317000,-0.220000
0.838000,0.019200,0.317000,-0.240000
0.840000,0.019300,0.317100,-0.250000
0.842000,0.019500,0.316700,-0.270000
0.844000,0.019600,0.316800,-0.280000
0.846000,0.019800,0.317000,-0.290000
0.848000,0.019900,0.317100,-0.310000
0.850000,0.020100,0.316800,-0.320000
0.852000,0.020200,0.316500,-0.330000
0.854000,0.020400,0.316600,-0.350000
0.856000,0.020500,0.316300,-0.360000
0.858000,0.020700,0.315600,-0.370000
0.860000,0.020800,0.315800,-0.390000
0.862000,0.021000,0.315500,-0.400000
0.864000,0.021100,0.314800,-0.420000
0.866000,0.021300,0.314500,-0.430000
0.868000,0.021400,0.313900,-0.440000
0.870000,0.021600,0.313600,-0.460000
0.872000,0.021700,0.312500,-0.470000
0.874000,0.021800,0.312300,-0.490000
0.876000,0.022000,0.311600,-0.500000
0.878000,0.022100,0.311000,-0.510000
0.880000,0.022300,0.310300,-0.530000
0.882000,0.022400,0.309700,-0.540000
0.884000,0.022500,0.309000,-0.550000
0.886000,0.022700,0.308000,-0.570000
0.888000,0.022800,0.307300,-0.580000
0.890000,0.023000,0.306700,-0.600000
0.892000,0.023100,0.305300,-0.610000
0.894000,0.023300,0.305000,-0.620000
0.896000,0.023400,0.303600,-0.640000
0.898000,0.023500,0.303000,-0.650000
0.900000,0.023600,0.301500,-0.660000
0.902000,0.023800,0.300500,-0.680000
0.904000,0.023900,0.299500,-0.690000
0.906000,0.024000,0.298500,-0.700000
0.908000,0.024200,0.297400,-0.720000
0.910000,0.024300,0.296000,-0.730000
0.912000,0.024400,0.295000,-0.740000
0.914000,0.024500,0.293200,-0.760000
0.916000,0.024700,0.292500,-0.770000
0.918000,0.024800,0.290800,-0.780000
0.920000,0.025000,0.289700,-0.800000
0.922000,0.025100,0.288300,-0.810000
0.924000,0.025200,0.286500,-0.820000
0.926000,0.025300,0.285100,-0.830000
0.928000,0.025400,0.283700,-0.850000
0.930000,0.025600,0.282300,-0.860000
0.932000,0.025700,0.280500,-0.870000
0.934000,0.025800,0.279100,-0.890000
0.936000,0.025900,0.277300,-0.900000
0.938000,0.026000,0.275500,-0.910000
0.940000,0.026100,0.273700,-0.920000
0.942000,0.026300,0.272300,-0.930000
0.944000,0.026400,0.270100,-0.950000
0.946000,0.026500,0.268700,-0.960000
0.948000,0.026600,0.266500,-0.970000
0.950000,0.026700,0.265000,-0.980000
0.952000,0.026800,0.262900,-0.990000
0.954000,0.027000,0.261400,-1.000000
0.956000,0.027100,0.259300,-1.020000
0.958000,0.027200,0.257400,-1.030000
0.960000,0.027300,0.255300,-1.040000
0.962000,0.027400,0.253400,-1.050000
0.964000,0.027500,0.251300,-1.060000
0.966000,0.027600,0.249400,-1.070000
0.968000,0.027700,0.247000,-1.080000
0.970000,0.027800,0.245100,-1.090000
0.972000,0.027900,0.242600,-1.100000
0.974000,0.028000,0.240700,-1.110000
0.976000,0.028100,0.238500,-1.120000
0.978000,0.028200,0.236300,-1.130000
0.980000,0.028300,0.234100,-1.140000
0.982000,0.028400,0.231900,-1.150000
0.984000,0.028500,0.229700,-1.160000
0.986000,0.028600,0.227500,-1.170000
0.988000,0.028600,0.224700,-1.180000
0.990000,0.028800,0.222800,-1.190000
0.992000,0.028800,0.220200,-1.200000
0.994000,0.028900,0.218000,-1.210000
0.996000,0.029000,0.215500,-1.220000
0.998000,0.029100,0.213000,-1.230000
1.000000,0.029200,0.210400,-1.240000
1.002000,0.029200,0.207900,-1.240000
1.004000,0.029300,0.205300,-1.250000
1.006000,0.029400,0.202800,-1.260000
1.008000,0.029500,0.200500,-1.270000
1.010000,0.029600,0.197900,-1.280000
1.012000,0.029700,0.195300,-1.280000
1.014000,0.029700,0.192500,-1.290000
1.016000,0.029800,0.190200,-1.300000
1.018000,0.029900,0.187300,-1.310000
1.020000,0.029900,0.184800,-1.310000
1.022000,0.030000,0.182200,-1.320000
1.024000,0.030100,0.179500,-1.330000
1.026000,0.030200,0.176700,-1.330000
1.028000,0.030300,0.174300,-1.340000
1.030000,0.030300,0.171500,-1.350000
1.032000,0.030400,0.168600,-1.350000
1.034000,0.030400,0.166000,-1.360000
1.036000,0.030500,0.163100,-1.370000
1.038000,0.030600,0.160700,-1.370000
1.040000,0.030600,0.157600,-1.380000
1.042000,0.030700,0.154900,-1.380000
1.044000,0.030700,0.151800,-1.390000
1.046000,0.030800,0.149400,-1.390000
1.048000,0.030900,0.146500,-1.400000
1.050000,0.030900,0.143600,-1.400000
1.052000,0.031000,0.140900,-1.410000
1.054000,0.031000,0.137800,-1.410000
1.056000,0.031100,0.135100,-1.420000
1.058000,0.031100,0.132000,-1.420000
1.060000,0.031200,0.129100,-1.420000
1.062000,0.031200,0.126100,-1.430000
1.064000,0.031300,0.123400,-1.430000
1.066000,0.031300,0.120500,-1.440000
1.068000,0.031300,0.117400,-1.440000
1.070000,0.031400,0.114400,-1.440000
1.072000,0.031400,0.111500,-1.450000
1.074000,0.031500,0.108600,-1.450000
1.076000,0.031500,0.105600,-1.450000
1.078000,0.031600,0.102700,-1.450000
1.080000,0.031600,0.099800,-1.460000
1.082000,0.031600,0.096800,-1.460000
1.084000,0.031700,0.093900,-1.460000
1.086000,0.031700,0.090700,-1.460000
1.088000,0.031700,0.087800,-1.470000
1.090000,0.031800,0.084800,-1.470000
1.092000,0.031800,0.081900,-1.470000
1.094000,0.031800,0.078900,-1.470000
1.096000,0.031800,0.075800,-1.470000
1.098000,0.031900,0.073000,-1.470000
1.100000,0.031900,0.069900,-1.470000
1.102000,0.031900,0.066900,-1.470000
1.104000,0.032000,0.063800,-1.470000
1.106000,0.032000,0.060900,-1.480000
1.108000,0.032000,0.057900,-1.480000
1.110000,0.032000,0.054900,-1.480000
1.112000,0.032100,0.052000,-1.480000
1.114000,0.032100,0.048900,-1.480000
1.116000,0.032100,0.045800,-1.480000
1.118000,0.032100,0.042700,-1.470000
1.120000,0.032100,0.039700,-1.470000
1.122000,0.032100,0.036700,-1.470000
1.124000,0.032100,0.033700,-1.470000
1.126000,0.032200,0.030800,-1.470000
1.128000,0.032100,0.027700,-1.470000
1.130000,0.032200,0.024800,-1.470000
1.132000,0.032200,0.021700,-1.470000
1.134000,0.032200,0.018800,-1.470000
1.136000,0.032200,0.015800,-1.460000
1.138000,0.032200,0.012800,-1.460000
1.140000,0.032200,0.009900,-1.460000
1.142000,0.032200,0.006900,-1.460000
1.144000,0.032200,0.003900,-1.460000
1.146000,0.032200,0.000900,-1.450000
1.148000,0.032200,-0.002100,-1.450000
1.150000,0.032200,-0.005000,-1.450000
1.152000,0.032200,-0.007900,-1.450000
1.154000,0.032200,-0.010800,-1.440000
1.156000,0.032200,-0.013800,-1.440000
1.158000,0.032200,-0.016800,-1.440000
1.160000,0.032200,-0.019700,-1.430000
1.162000,0.032200,-0.022600,-1.430000
1.164000,0.032200,-0.025500,-1.430000
1.166000,0.032200,-0.028400,-1.420000
1.168000,0.032200,-0.031200,-1.420000
1.170000,0.032100,-0.034200,-1.420000
1.172000,0.032100,-0.037100,-1.410000
1.174000,0.032100,-0.040000,-1.410000
1.176000,0.032100,-0.042800,-1.400000
1.178000,0.032000,-0.045800,-1.400000
1.180000,0.032100,-0.048500,-1.390000
1.182000,0.032000,-0.051400,-1.390000
1.184000,0.032000,-0.054200,-1.380000
1.186000,0.032000,-0.057000,-1.380000
1.188000,0.032000,-0.059800,-1.370000
1.190000,0.032000,-0.062600,-1.370000
1.192000,0.031900,-0.065400,-1.360000
1.194000,0.031900,-0.068200,-1.360000
1.196000,0.031900,-0.071000,-1.350000
1.198000,0.031900,-0.073700,-1.350000
1.200000,0.031900,-0.076500,-1.340000
1.202000,0.031800,-0.079200,-1.340000
1.204000,0.031800,-0.081900,-1.330000
1.206000,0.031800,-0.084600,-1.320000
1.208000,0.031800,-0.087300,-1.320000
1.210000,0.031700,-0.090000,-1.310000
1.212000,0.031700,-0.092700,-1.300000
1.214000,0.031700,-0.095400,-1.300000
1.216000,0.031600,-0.098000,-1.290000
1.218000,0.031600,-0.100600,-1.290000
1.220000,0.031600,-0.103300,-1.280000
1.222000,0.031500,-0.105900,-1.270000
1.224000,0.031500,-0.108500,-1.260000
1.226000,0.031500,-0.111100,-1.260000
1.228000,0.031400,-0.113700,-1.250000
1.230000,0.031400,-0.116200,-1.240000
1.232000,0.031300,-0.118800,-1.240000
1.234000,0.031300,-0.121300,-1.230000
1.236000,0.031200,-0.123800,-1.220000
1.238000,0.031200,-0.126300,-1.210000
1.240000,0.031200,-0.128800,-1.210000
1.242000,0.031100,-0.131300,-1.200000
1.244000,0.031100,-0.133800,-1.190000
1.246000,0.031000,-0.136200,-1.180000
1.248000,0.031000,-0.138600,-1.170000
1.250000,0.030900,-0.141000,-1.170000
1.252000,0.030900,-0.143400,-1.160000
1.254000,0.030900,-0.145800,-1.150000
1.256000,0.030800,-0.148200,-1.140000
1.258000,0.030800,-0.150600,-1.130000
1.260000,0.030700,-0.152900,-1.130000
1.262000,0.030700,-0.155200,-1.120000
1.264000,0.030600,-0.157500,-1.110000
1.266000,0.030600,-0.159900,-1.100000
1.268000,0.030500,-0.162100,-1.090000
1.270000,0.030500,-0.164400,-1.080000
1.272000,0.030400,-0.166600,-1.080000
1.274000,0.030400,-0.168900,-1.070000
1.276000,0.030300,-0.171100,-1.060000
1.278000,0.030300,-0.173300,-1.050000
1.280000,0.030200,-0.175500,-1.040000
1.282000,0.030200,-0.177600,-1.030000
1.284000,0.030100,-0.179800,-1.020000
1.286000,0.030100,-0.182000,-1.010000
1.288000,0.030000,-0.184000,-1.000000
1.290000,0.029900,-0.186000,-0.990000
1.292000,0.029800,-0.188100,-0.980000
1.294000,0.029800,-0.190300,-0.980000
1.296000,0.029700,-0.192300,-0.970000
1.298000,0.029700,-0.194300,-0.960000
1.300000,0.029600,-0.196300,-0.950000
1.302000,0.029600,-0.198400,-0.940000
1.304000,0.029500,-0.200300,-0.930000
1.306000,0.029500,-0.202300,-0.920000
1.308000,0.029400,-0.204200,-0.910000
1.310000,0.029300,-0.206200,-0.900000
1.312000,0.029200,-0.208100,-0.890000
1.314000,0.029200,-0.210000,-0.880000
1.316000,0.029100,-0.211900,-0.870000
1.318000,0.029100,-0.213800,-0.860000
1.320000,0.029000,-0.215600,-0.850000
1.322000,0.028900,-0.217400,-0.840000
1.324000,0.028900,-0.219200,-0.830000
1.326000,0.028800,-0.221100,-0.820000
1.328000,0.028700,-0.222800,-0.810000
1.330000,0.028700,-0.224600,-0.800000
1.332000,0.028600,-0.226200,-0.790000
1.334000,0.028500,-0.228100,-0.780000
1.336000,0.028400,-0.229700,-0.770000
1.338000,0.028400,-0.231400,-0.760000
1.340000,0.028300,-0.233000,-0.750000
1.342000,0.028300,-0.234800,-0.740000
1.344000,0.028200,-0.236400,-0.730000
1.346000,0.028100,-0.238100,-0.720000
1.348000,0.028100,-0.239600,-0.710000
1.350000,0.028000,-0.241200,-0.700000
1.352000,0.027900,-0.242700,-0.690000
1.354000,0.027800,-0.244200,-0.680000
1.356000,0.027800,-0.245800,-0.670000
1.358000,0.027700,-0.247300,-0.660000
1.360000,0.027600,-0.248800,-0.650000
1.362000,0.027500,-0.250300,-0.640000
1.364000,0.027500,-0.251800,-0.630000
1.366000,0.027400,-0.253200,-0.620000
1.368000,0.027300,-0.254600,-0.610000
1.370000,0.027200,-0.256000,-0.600000
1.372000,0.027200,-0.257400,-0.590000
1.374000,0.027100,-0.258600,-0.580000
1.376000,0.027000,-0.260100,-0.570000
1.378000,0.026900,-0.261400,-0.560000
1.380000,0.026900,-0.262800,-0.550000
1.382000,0.026800,-0.264000,-0.540000
1.384000,0.026700,-0.265400,-0.530000
1.386000,0.026600,-0.266600,-0.520000
1.388000,0.026600,-0.268100,-0.510000
1.390000,0.026500,-0.269100,-0.500000
1.392000,0.026400,-0.270400,-0.490000
1.394000,0.026300,-0.271600,-0.480000
1.396000,0.026200,-0.272600,-0.470000
1.398000,0.026200,-0.273900,-0.460000
